destination,Agra,Ahmedabad,Alappuzha,Amritsar,Andaman,Bengaluru,Bhopal,Bhubaneswar,Chennai,Coorg,Darjeeling,Delhi,Dharamshala,Gangtok,Goa,Gokarna,Hampi,Hyderabad,Indore,Jaipur,Jaisalmer,Jim Corbett,Jodhpur,Kaziranga,Kochi,Kodaikanal,Kolkata,Ladakh,Mahabalipuram,Manali,Mumbai,Munnar,Mussoorie,Mysore,Nainital,Ooty,Pahalgam,Pondicherry,Pune,Ranchi,Ranthambore,Rishikesh,Shillong,Shimla,Srinagar,Thiruvananthapuram,Udaipur,Varanasi,Varkala,Wayanad
Agra,1.0,0.5329765043159189,-0.3030036692423851,0.3146516601707098,-0.14279985504313333,-0.003460806894816648,-0.2185405780346037,0.28224179849328607,0.4389604267775267,-0.26937639536833197,0.31812185855718045,-0.06858432503953672,-0.047559875682194865,0.0006288988829735187,-0.36458393748354523,-0.24622613911459543,-0.20077886218419128,-0.08137554014349577,0.6829345633398857,0.1778899418375982,0.008778287978160791,0.199087312478117,0.0978351490551989,0.16022161229151208,0.14434648371843645,-0.2367344817018746,0.6003853513687939,-0.18581803541723907,-0.001791286608200768,-0.0992939121528246,-0.25275146798159515,-0.3056571172270027,0.01255135296993059,0.29966574502791676,0.1383979055725814,-0.3132067727115595,-0.38937417431264504,0.12267448483545587,0.07499511445916396,0.10173875498616686,-0.23441392915153417,-0.21015777001064967,0.01247514491253411,-0.05641061251721535,-0.15869532934814504,0.3847351471008554,-0.05068269779949212,0.6312600312577274,0.05465038047868129,-0.23941856755482607
Ahmedabad,0.5329765043159189,1.0000000000000002,-0.12369946280206272,0.39267944207242855,-0.1690901931557574,0.03453103936747019,-0.19635024450926308,0.06602817365345814,0.19681635010401574,-0.06749111277270453,-0.2308085645336466,-0.021988130141496583,0.005755152434454313,-0.23925018244588325,-0.1263948026891075,-0.2715308238795122,0.1332299112241248,0.14899462340086284,0.7003658812305995,0.18570782838867272,0.5152812974488793,0.08682383360222065,0.527705428963725,-0.2641330980365047,0.10992472996818822,-0.2728532668112925,0.2157529912426495,0.12571866003785329,0.02813059947539117,-0.3002607424906484,-0.02033521947910137,-0.31494939327990223,0.06835371026772936,0.44261031779950993,-0.110092300845109,-0.07307876950079473,-0.16431986632511825,0.050418068284681955,0.3213951200922715,-0.3465735756518604,0.17841371916510484,-0.17044350314407952,-0.22265510689442178,-0.17152434072892672,-0.16526112345363708,0.18864592412485118,-0.02467731141550029,0.19306942456385656,-0.10422068333628424,-0.2615642083856748
Alappuzha,-0.3030036692423851,-0.12369946280206272,0.9999999999999996,-0.24707611379037936,0.16778452745383812,0.1014631821157111,-0.1716860057990219,-0.0661897001698544,0.34107575139251906,0.21139885664743688,-0.5405483886639524,-0.16071636341165665,0.14958846957420538,-0.24287530902983995,0.35531364581319613,0.4986553353173246,0.1964811611786261,0.12147044254556451,-0.12537431364031723,-0.37519036492858987,-0.10923166458457506,-0.18214827089316285,-0.04615174020577607,0.14244428980243687,0.46199582241092196,-0.05977023635569967,-0.11232149201712141,-0.44414706488155525,-0.018812677533323004,-0.18064349222692896,0.18719779463624198,0.14917030885052254,-0.3866990481625785,0.18818981189890233,-0.4012211170248625,0.2908988805297021,-0.25988548674105144,0.1531302966596847,0.024322705327300874,-0.11274377708061809,0.22226090792349454,0.07764334628032242,-0.18046717269199467,-0.5190679607434147,-0.08853114134974603,0.3925695299265412,-0.292072118966347,-0.0481212726917842,0.46416384953516776,0.2726893030485135
Amritsar,0.3146516601707098,0.39267944207242855,-0.24707611379037936,0.9999999999999999,-0.15504846322216087,-0.25838933848771845,-0.21474696384183367,0.04259970450967193,0.05187084858608242,-0.35191482356078824,-0.12802697105202274,0.004129222206191446,0.42393702089869684,-0.014952765779377031,-0.3951193964262082,-0.11556607964065563,-0.14498827608992465,-0.030277005190951386,-0.0928890218224543,-0.05953704133047934,0.6434173119892842,0.4417908152992004,0.8052272841009748,0.18597081329417858,-0.1482943961639876,-0.5619227119377852,0.4578998951430737,0.5844145376895756,0.14781783193898929,-0.19992423524422048,-0.06013252270296279,-0.4817513169279873,0.14736224953186652,-0.3589364987364885,-0.2421738469475805,-0.4175817246134947,0.05455263779219836,-0.27045141226428504,-0.13490728213793804,0.06669178749194354,0.2219706344968785,0.09998768750599005,-0.1495411905127454,0.04227278117546024,0.12374235480115504,-0.3353306628746519,-0.13676671907472757,0.5655851935015912,-0.31524137766070476,-0.23755737395595192
Andaman,-0.14279985504313333,-0.1690901931557574,0.16778452745383812,-0.15504846322216087,0.9999999999999997,-0.36320827328012983,0.39035186634002444,0.30399670028854225,-0.2284456976556202,0.6976165253653278,0.150262824160355,-0.33449369916131855,-0.4506139300227331,0.4866781302196641,0.016494861381302628,0.10447857482503498,0.033439168537748656,-0.22872307446623386,-0.13735326819317795,-0.5726211541272094,0.00394450807996213,0.39137595746208476,-0.0733286022960105,0.369116537229731,-0.1602402792517427,0.34543208702571965,-0.24064230136708564,0.17843875624911856,0.5091782140460231,-0.14108527547026697,-0.4074747910087434,-0.03663455208348014,-0.1343115603208582,0.1290401514406155,0.05220899880712611,0.019267292901627604,0.17696147893698766,0.3025582326614052,-0.45432660199766156,0.41349904828093637,0.08466367055818487,-0.20799100060017106,0.21368985543569938,-0.16937348573194938,-0.407831470752937,-0.10143057477125123,-0.22337857714747303,-0.21664850982514533,-0.00020997112560684913,0.5071877540392096
Bengaluru,-0.003460806894816648,0.03453103936747019,0.1014631821157111,-0.25838933848771845,-0.36320827328012983,1.0000000000000002,-0.5012772401571601,-0.30264635159073905,0.5543862432415388,-0.48092226767860935,-0.25248113436596986,0.7506344187436738,-0.2320825687499241,-0.4801540170155056,0.2090895703163367,-0.1628584590748274,0.3099932461523227,0.5874818651689232,0.05724647022143045,0.40887096292723185,-0.09459814355082334,-0.5276528884800531,-0.10785840371389188,-0.23890758642067988,0.22670929536166107,-0.3124853099551609,0.3121754017871257,-0.495411864840954,-0.29124191066732014,-0.13040609132200134,0.7580713965099519,0.19674739324897964,-0.5219232143636923,0.1313350280267269,-0.22084116747890103,-0.18466528822524825,-0.4800305971694534,0.19605810825471678,0.5154166908538694,-0.4368168584454214,-0.507467574576519,-0.03355270195902045,-0.1839829472531866,-0.35486276619571794,0.1018368891914942,0.3538611907069205,0.215031271089531,-0.10043764618569871,-0.002167251394280579,-0.32031276219974414
Bhopal,-0.2185405780346037,-0.19635024450926308,-0.1716860057990219,-0.21474696384183367,0.39035186634002444,-0.5012772401571601,0.9999999999999997,0.5901608901935731,-0.4917272059023231,0.4520637443806034,0.10822600540622199,-0.10606682922609914,-0.27595113745893946,0.7494245749217032,-0.006325274216731329,-0.08609241166572452,-0.2988514896604759,-0.4389478808438372,-0.2330588025307089,0.010753434224404026,-0.2644963603980302,0.17008004941889757,-0.3083929637956611,-0.1078756148375101,0.02781356115775753,0.3022481841788281,-0.1747261421820485,0.1425579884500329,0.20611699305369305,0.09314751025054953,-0.3307140902204802,-0.058536518276914466,0.3252462631509594,-0.21830132961798632,0.048133194441159835,0.02310466301463698,0.30006599283989527,-0.19299211186719278,-0.2638052028497811,0.613387311284113,0.27587770491380026,-0.08149094030379407,0.3325098367135623,0.04610003955416209,-0.3310692787180211,-0.21468223797982672,-0.184542873692013,-0.11620602856872932,-0.14537131867602027,0.529894017966933
Bhubaneswar,0.28224179849328607,0.06602817365345814,-0.0661897001698544,0.04259970450967193,0.30399670028854225,-0.30264635159073905,0.5901608901935731,1.0000000000000002,-0.04092370337967544,0.0019722845752207286,-0.007532790441812438,-0.06403097157403276,-0.10360358820218564,0.6657949293735385,-0.028134492247456056,-0.13408380049812335,-0.06712299868410221,-0.13484205022250856,0.0708847650892366,-0.03956409214513701,0.00017169253769129793,0.012297556565080426,-0.046181115088296,0.10137945049454583,0.11699510439574837,-0.27160716210484914,0.23414279419009962,-0.15420048271817757,-0.08919265105050646,-0.019895705736512264,-0.18883710718237726,-0.27883772112152627,0.0035011138983060044,-0.07967412373846121,-0.11074210560256834,-0.27822297011821195,-0.24210720432920935,0.0752891711839354,-0.171479956744688,0.7674439160215671,0.12621167973333566,-0.049734242235481466,-0.017411247967162216,-0.133329936141918,-0.16948075210093047,-0.02263890432317412,-0.1938507722408715,0.2248073335068931,-0.1989053939073015,0.0868362668306737
Chennai,0.4389604267775267,0.19681635010401574,0.34107575139251906,0.05187084858608242,-0.2284456976556202,0.5543862432415388,-0.4917272059023231,-0.04092370337967544,0.9999999999999998,-0.48287280870354904,-0.3040119031998457,0.24681203038251212,-0.09010924387500555,-0.534808403025831,-0.12726911417453635,0.3563738957025191,0.2646042644200596,0.37295606539530385,0.270170047884835,0.05452357994951358,0.11658083556852797,-0.3078545739984129,0.17931813377118888,-0.04965199788709089,0.6899604152013433,-0.46285871397811523,0.5387114881233276,-0.5275345293571914,0.06428562714996106,-0.0805998480512854,0.3581519318187168,-0.2400396015434144,-0.7094282659717731,0.33229561615448805,-0.474626554273821,-0.40237961628516933,-0.6859171742430007,0.50940959715737,0.40401342797129897,-0.20941800033637534,-0.3819865488820959,-0.18862340754533002,-0.20454577282105096,-0.4948350889627869,-0.11016687210999156,0.665880705459138,-0.10480632551092088,0.32156166011290455,0.5589533995796985,-0.21059693915128333
Coorg,-0.26937639536833197,-0.06749111277270453,0.21139885664743688,-0.35191482356078824,0.6976165253653278,-0.48092226767860935,0.4520637443806034,0.0019722845752207286,-0.48287280870354904,0.9999999999999999,0.1889465965589245,-0.4771286681151612,-0.4179225426703026,0.38791740626197163,0.22554335861271427,0.10051467028929868,-0.22104583194796873,-0.28742109496271745,0.07849431280025163,-0.44220067708628136,-0.24243116933772693,0.31931486646521207,-0.24767764276732426,0.1444737267876079,-0.1329450289208957,0.7918057099960718,-0.566810779693167,0.2660997534553697,0.32178701202128884,-0.20456379322532559,-0.45426497140829336,0.18306559423684454,0.36256422002958927,0.2459931217537419,0.31696288498926345,0.45713714910542785,0.6086793296552927,0.03624177176670411,-0.39610133673999387,0.22625702161709796,0.1934578197105434,-0.2386011413851048,0.13404957458138347,0.04813785580903322,-0.43023606160417904,0.01276146796752497,-0.24337721971286858,-0.43335796879579874,0.10346265248651985,0.7399575737720114
