avg_flight_price,min_hotel_price,avg_hotel_price,max_hotel_price,flight_count,avg_total_duration,avg_outbound_stops,avg_return_stops,hotel_count,room_count,avg_allotment,temperature,feels_like,humidity,wind_speed,cloudiness,visibility,rain_1h,sight_count,park_count,restaurant_count,water_count,forest_count,wetland_count,river_count,mountain_count,coastal_count,sand_count,protected_area_count
,1.0,0.999950152768908,0.9999915397331759,,,,,0.07692307692307693,0.12345679012345678,0.3212669683257918,0.5736501079913607,0.730909090909091,0.025000000000000022,0.7880658436213992,0.0,1.0,1.0,0.13,0.7692307692307693,0.98,0.42857142857142855,0.32989690721649484,0.07317073170731707,0.058823529411764705,0.0,0.0,0.0,0.0
,0.8648993117512108,0.9976585972183349,0.999725122317516,,,,,0.15384615384615385,0.41975308641975306,0.3339100346020761,0.6596112311015119,0.6549090909090909,0.475,0.6820987654320988,0.0,1.0,1.0,0.12,0.6666666666666666,0.4,0.14285714285714285,0.020618556701030927,0.0,0.11764705882352941,0.0,0.0,0.0,0.0
,0.5652561814937547,0.9951158012543553,0.9996494783117883,,,,,0.02564102564102564,0.037037037037037035,0.2357968828557063,0.5291576673866091,0.5621818181818181,0.17500000000000004,0.5267489711934157,0.0,1.0,0.8952879581151832,0.17,0.14102564102564102,0.7,0.7551020408163265,0.020618556701030927,0.5609756097560976,0.5294117647058824,0.0,0.08333333333333333,0.0,0.0
,0.898801937292888,0.801228319783405,0.8825858751970345,,,,,0.1282051282051282,0.14814814814814814,0.07925407925407925,0.8734341252699784,1.0,0.4625,0.8415637860082305,0.84,1.0,1.0,0.1,0.1794871794871795,0.56,0.41836734693877553,0.09278350515463918,0.024390243902439025,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,0.5222462203023759,0.5647272727272727,0.11250000000000004,0.17901234567901236,0.0,1.0,0.7539267015706806,0.0,0.0,0.0,0.0,0.020618556701030927,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.9327045628345654,0.9977107712001836,0.9990918233751466,0.38461538461538464,0.9790838375108037,1.0,1.0,0.4358974358974359,0.8271604938271605,0.4072176381864963,0.5542116630669546,0.5483636363636364,0.36250000000000004,0.4711934156378601,0.0,1.0,1.0,0.97,0.5,0.99,0.6326530612244898,0.3917525773195876,0.0,0.9411764705882353,0.0,0.0,0.0,0.0
,0.8598648993117513,0.9998424357606959,1.0,,,,,0.02564102564102564,0.09876543209876543,0.12990196078431374,0.361987041036717,0.34472727272727266,0.025000000000000022,0.6820987654320988,0.0,0.6378942078150521,0.26178010471204194,0.07,0.28205128205128205,0.21,0.21428571428571427,0.020618556701030927,0.04878048780487805,0.0,0.047619047619047616,0.0,0.0,1.0
,0.8761789446851899,0.9986098014488839,0.9997578793741885,,,,,0.05128205128205128,0.2345679012345679,0.19616715464466328,0.6207343412526999,0.7410909090909091,0.21250000000000002,0.7880658436213992,0.030000000000000027,1.0,0.041884816753926635,0.06,0.8846153846153846,0.39,0.16326530612244897,0.041237113402061855,0.04878048780487805,0.0,0.23809523809523808,0.0,0.0,0.0
,0.8794927351516697,0.9990006172634506,0.9998405382992417,,,,,0.20512820512820512,0.4691358024691358,0.7380728233472015,0.736501079913607,0.8847272727272727,0.2875,0.73559670781893,0.0,1.0,1.0,0.62,0.5512820512820513,0.96,0.7551020408163265,0.08247422680412371,0.21951219512195122,0.5294117647058824,0.0,0.75,0.0,0.0
,,,,,,,,,,,0.34600431965442774,0.3272727272727272,0.0625,0.7860082304526749,0.020000000000000018,1.0,0.93717277486911,0.0,0.05128205128205128,0.0,0.0,0.020618556701030927,0.0,0.0,0.0,0.0,0.0,0.0
,0.9140326280907469,0.9994234209483529,0.9999268479727182,,,,,0.15384615384615385,0.14814814814814814,0.08796769328078627,0.28596112311015126,0.27636363636363637,0.0,0.8827160493827161,0.06999999999999995,1.0,1.0,0.07,0.16666666666666666,0.46,0.02040816326530612,1.0,0.0,0.0,0.0,0.0,0.0,0.5
0.48737416823067736,0.9400331379046648,0.9960265597233213,0.990544736021982,1.0,0.7283998450213096,1.0,0.8620689655172414,1.0,1.0,0.24752375176874863,0.6570194384449245,0.7803636363636364,0.275,0.73559670781893,0.020000000000000018,1.0,0.806282722513089,1.0,0.358974358974359,1.0,0.7653061224489796,0.18556701030927836,0.12195121951219512,0.17647058823529413,0.047619047619047616,0.0,0.0,0.5
,0.05601580423145547,0.812901917388828,0.8800593828495763,,,,,0.02564102564102564,0.04938271604938271,0.035134415757253123,0.6401727861771059,0.7105454545454545,0.32499999999999996,0.8930041152263375,0.5700000000000001,1.0,1.0,0.06,0.0641025641025641,0.98,0.16326530612244897,0.4020618556701031,0.024390243902439025,0.5294117647058824,0.23809523809523808,0.0,0.0,0.0
,0.9182385929135866,0.9973533104231807,0.9990828024131722,,,,,0.15384615384615385,0.25925925925925924,0.1745180685551354,0.40604751619870405,0.3858181818181817,0.025000000000000022,0.9557613168724279,0.14,1.0,0.4293193717277486,0.01,0.05128205128205128,0.25,0.08163265306122448,0.030927835051546393,0.0,0.0,0.0,0.0,0.0,0.5
0.9349940283228118,0.9120570991588071,0.9896435507928178,0.987698659898719,0.038461538461538464,1.0,1.0,1.0,0.2564102564102564,0.49382716049382713,0.2925548347235094,0.4950323974082074,0.4269090909090909,0.050000000000000044,0.7983539094650206,0.33999999999999997,1.0,0.8795811518324608,0.09,0.23076923076923078,0.06,0.14285714285714285,0.23711340206185566,0.926829268292683,0.29411764705882354,0.23809523809523808,0.0,0.0,0.0
,0.6400713739485087,0.9990024427668399,0.9999814472204697,,,,,0.0,0.04938271604938271,0.0,0.6056155507559395,0.6585454545454545,0.30000000000000004,0.39814814814814825,0.26,1.0,0.8010471204188482,0.01,0.0,0.82,0.17346938775510204,0.5051546391752577,0.4634146341463415,0.35294117647058826,0.09523809523809523,1.0,0.0,0.0
,0.6456156003058884,0.9984146426389618,0.9999252531065128,,,,,0.0,0.037037037037037035,0.9095022624434389,0.6565874730021598,0.6178181818181819,0.5375,0.0,0.030000000000000027,1.0,1.0,0.76,0.14102564102564102,0.53,0.2653061224489796,0.10309278350515463,0.0,0.5294117647058824,0.7142857142857143,0.0,0.0,0.0
,0.912630639816467,0.9979832035686361,0.9998062985153938,,,,,0.1282051282051282,0.37037037037037035,0.5715069244481009,0.49589632829373653,0.42763636363636365,0.2875,0.4711934156378601,0.78,1.0,1.0,1.0,0.5641025641025641,0.81,0.17346938775510204,0.05154639175257732,0.17073170731707318,0.4117647058823529,0.19047619047619047,0.0,0.0,0.0
